"Name","File","InternalUses","Sample"
"getApiJobStore","lib/image-router/jobs/async-generation-service.ts","4",".\lib\image-router\jobs\async-generation-service.ts:57:  const store = params.store ?? getApiJobStore(false); || .\lib\image-router\jobs\async-generation-service.ts:124:      await processGenerationJob(jobId, getApiJobStore(true));"
"getWorkerJobStore","lib/image-router/jobs/generation-worker.ts","1",".\lib\image-router\jobs\generation-worker.ts:155:  const store = options.store ?? getWorkerJobStore();"
"isSupabaseJobStore","lib/image-router/jobs/job-store-config.ts","1",".\lib\image-router\jobs\job-store-config.ts:27:  if (!isSupabaseJobStore()) return;"
"KONTEXT_EMPTY_HAND_SCENE_LOCK","lib/image-router/providers/kontext-prompts.ts","1",".\lib\image-router\providers\kontext-prompts.ts:42:      KONTEXT_EMPTY_HAND_SCENE_LOCK,"
"ALLOWED_IMAGE_TYPES","lib/image-upload.ts","1",".\lib\image-upload.ts:5:  if (!ALLOWED_IMAGE_TYPES.includes(file.type)) {"
"MAX_IMAGE_BYTES","lib/image-upload.ts","1",".\lib\image-upload.ts:8:  if (file.size > MAX_IMAGE_BYTES) {"
"orderImagesForFeed","lib/instagram-feed.ts","1",".\lib\instagram-feed.ts:107:  const imageUrls = orderImagesForFeed(opts.imageUrls, opts.imagePaths);"
"MAX_PRODUCT_FRAME_HEIGHT_RATIO","lib/lifestyle-physical-scale.ts","1",".\lib\lifestyle-physical-scale.ts:72:    ratio <= MAX_PRODUCT_FRAME_HEIGHT_RATIO && ratio >= MIN_PRODUCT_FRAME_HEIGHT_RATIO"
"MIN_PRODUCT_FRAME_HEIGHT_RATIO","lib/lifestyle-physical-scale.ts","1",".\lib\lifestyle-physical-scale.ts:72:    ratio <= MAX_PRODUCT_FRAME_HEIGHT_RATIO && ratio >= MIN_PRODUCT_FRAME_HEIGHT_RATIO"
"estimateHandWidthPx","lib/lifestyle-physical-scale.ts","1",".\lib\lifestyle-physical-scale.ts:103:  const handWidthPx = estimateHandWidthPx(opts.handRegions, opts.sceneWidthPx);"
"LIFESTYLE_COMPOSITE_PATH_MARKER","lib/lifestyle-shot-planner.ts","1",".\lib\lifestyle-shot-planner.ts:164:  return path.includes(LIFESTYLE_COMPOSITE_PATH_MARKER);"
"getBackdropCandidateCount","lib/photo-enhance.ts","1",".\lib\photo-enhance.ts:672:  const CANDIDATE_COUNT = getBackdropCandidateCount();"
"getBriaBackdropCandidateCount","lib/photo-enhance.ts","4",".\lib\photo-enhance.ts:907:  const candidateCount = getBriaBackdropCandidateCount(); || .\lib\photo-enhance.ts:1011:  const candidateCount = getBriaBackdropCandidateCount();"
"SourceImageExpiredError","lib/photo-pipeline-client.ts","3",".\lib\photo-pipeline-client.ts:28:    this.name = ""SourceImageExpiredError""; || .\lib\photo-pipeline-client.ts:68:      if (err instanceof SourceImageExpiredError) throw err;"
"enhanceImages","lib/photo-pipeline-client.ts","2",".\lib\photo-pipeline-client.ts:460: * 諛곌꼍 ?꾨낫 ?좏깮 ??(?좏깮) ?뱀뀡 諛곌꼍 ??enhanceImages ?쇨큵 ?ㅽ뻾. || .\lib\photo-pipeline-client.ts:654:  const enhanced = await enhanceImages({"
"PRODUCT_IMAGE_PROTECT_HOURS","lib/product-image-protection.ts","1",".\lib\product-image-protection.ts:8:  hours: number = PRODUCT_IMAGE_PROTECT_HOURS,"
"QUICK_FACT_LABEL_WHITELIST","lib/quick-fact-strip.ts","1",".\lib\quick-fact-strip.ts:55:    QUICK_FACT_LABEL_WHITELIST.some((w) => r.label.includes(w)),"
"formatQuickFactLine","lib/quick-fact-strip.ts","1",".\lib\quick-fact-strip.ts:71:  const line = formatQuickFactLine(facts)"
"extractLinesFromXlsx","lib/review-insights.ts","3",".\lib\review-insights.ts:88:  return extractLinesFromXlsx(buffer).join(""\n""); || .\lib\review-insights.ts:97:  if (fileType === ""xlsx"") return extractLinesFromXlsx(fileBuffer).length;"
"buildSocialMiniSections","lib/social-mini/generate-copy.ts","1",".\lib\social-mini\generate-copy.ts:178:  const sections = buildSocialMiniSections(parsed, params.imageCount);"
"DEFAULT_SLICE_HEIGHT_PX","lib/split-detail-download.ts","1",".\lib\split-detail-download.ts:18:  sliceHeight = DEFAULT_SLICE_HEIGHT_PX,"
"slicePngDataUrl","lib/split-detail-download.ts","1",".\lib\split-detail-download.ts:54:  const slices = await slicePngDataUrl(opts.dataUrl, opts.sliceHeight);"
"sanitizeUsageFlowSteps","lib/usage-order-diagram.ts","1",".\lib\usage-order-diagram.ts:26:  const cleaned = sanitizeUsageFlowSteps(steps);"
"CANVAS_MOBILE_MAX_WIDTH_PX","lib/use-canvas-mobile-edit.ts","2",".\lib\use-canvas-mobile-edit.ts:9:  const mq = window.matchMedia(`(max-width: ${CANVAS_MOBILE_MAX_WIDTH_PX}px)`); || .\lib\use-canvas-mobile-edit.ts:15:  return window.matchMedia(`(max-width: ${CANVAS_MOBILE_MAX_WIDTH_PX}px)`).matches;"
"getAlphaContentBounds","lib/vision-utils.ts","1",".\lib\vision-utils.ts:541:  const alphaBounds = await getAlphaContentBounds(buffer);"
"REFERENCE_VOLUME_ML","lib/volume-comparison-diagram.ts","4",".\lib\volume-comparison-diagram.ts:106: * 李몄“????긽 REFERENCE_VOLUME_ML (?쇰컲 洹쒓꺽). || .\lib\volume-comparison-diagram.ts:118:      label: `?쇰컲 ${REFERENCE_VOLUME_ML}mL`,"
"parseVolumeMlFromSizeHint","lib/volume-comparison-diagram.ts","1",".\lib\volume-comparison-diagram.ts:101:  return parseVolumeMlFromSizeHint(sizeHint);"
